scenario_name,scenario_type,mean_delta_prediction,median_delta_prediction,std_delta_prediction,min_delta_prediction,max_delta_prediction,extrapolation_cases,extrapolation_share,consistent_direction_across_cases,main_vs_fallback_agreement_rate,main_interpretation_reliability,recommended_use,ranking_bucket,rank
recent lab silica trend -0.2 pp,lab_trend_feature,-0.0789,-0.0581,0.06669597689016432,-0.1759,-0.0235,0,0.0,True,,high_model_dependence_lag_availability,exploratory_not_operational_recommendation,largest_reduction,1
Starch Flow +5%,manual_operational,-0.00015,0.0,0.0003,-0.0006,-0.0,0,0.0,True,0.25,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_reduction,2
Amina Flow +5%,manual_operational,0.0,-0.0,0.0,-0.0,-0.0,0,0.0,True,0.5,directionally_stable_decision_support,decision_support_with_caution,largest_reduction,3
Amina Flow -5%,manual_operational,0.0,-0.0,0.0,-0.0,-0.0,0,0.0,True,0.5,directionally_stable_decision_support,decision_support_with_caution,largest_reduction,4
Starch Flow -5%,manual_operational,0.0,-0.0,0.0,-0.0,-0.0,0,0.0,True,0.25,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_reduction,5
recent lab silica trend +0.2 pp,lab_trend_feature,0.11762500000000001,0.13645000000000002,0.06345845753982153,0.0278,0.1698,0,0.0,True,,high_model_dependence_lag_availability,exploratory_not_operational_recommendation,largest_increase,1
Process drift warning scenario,combined_package,0.117325,0.13645000000000002,0.06313157556511109,0.0278,0.1686,0,0.0,True,0.25,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_increase,2
Higher predicted silica stress test,combined_package,0.000325,0.0,0.0013985111130532116,-0.001,0.0023,0,0.0,False,0.5,directionally_stable_decision_support,decision_support_with_caution,largest_increase,3
Ore Pulp pH +0.2,manual_operational,0.000325,0.0,0.0013985111130532116,-0.001,0.0023,0,0.0,False,0.25,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_increase,4
Ore Pulp pH -0.2,manual_operational,0.000325,0.0,0.0013985111130532116,-0.001,0.0023,0,0.0,False,1.0,directionally_stable_decision_support,decision_support_with_caution,largest_increase,5
recent lab silica trend -0.2 pp,lab_trend_feature,-0.0789,-0.0581,0.06669597689016432,-0.1759,-0.0235,0,0.0,True,,high_model_dependence_lag_availability,exploratory_not_operational_recommendation,largest_extrapolation_risk,1
recent lab silica trend +0.2 pp,lab_trend_feature,0.11762500000000001,0.13645000000000002,0.06345845753982153,0.0278,0.1698,0,0.0,True,,high_model_dependence_lag_availability,exploratory_not_operational_recommendation,largest_extrapolation_risk,2
Process drift warning scenario,combined_package,0.117325,0.13645000000000002,0.06313157556511109,0.0278,0.1686,0,0.0,True,0.25,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_extrapolation_risk,3
Conservative small-adjustment package,combined_package,0.00017499999999999997,0.0,0.0016049402896473543,-0.0016,0.0023,0,0.0,False,0.0,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_extrapolation_risk,4
Lower predicted silica package,combined_package,0.00017499999999999997,0.0,0.0016049402896473543,-0.0016,0.0023,0,0.0,False,0.25,low_cross_model_agreement_exploratory,exploratory_not_operational_recommendation,largest_extrapolation_risk,5
